title,vector_14d
Mutter,"[0.1, 1.0, 0.15, 5.2, 4.18568990729127, 1.0, 0.3333333333333333, 0.19090909090909092, 0.33088235294117646, 0.7791487032823271, 52.0, 0.4, 0.9, 0.2]"
Eating Together,"[0.2, 1.0, 0.55, 1.1454545454545455, 0.8836438458343903, 0.9090909090909091, 0.18181818181818182, 0.17894736842105263, 0.30097087378640774, 0.7649485924393779, 11.454545454545455, 0.4, 0.6666666666666666, 0.5]"
Ghazal for Becoming Your Own Country,"[0.6, 1.0, 1.0, 0.71, 1.0712609392673662, 0.95, 0.1, 0.21296296296296297, 0.2903225806451613, 0.8071662167655808, 7.1, 0.4, 0.8, 0.1]"
Sather Tower Mystery,"[0.3, 1.0, 0.05, 15.8, 0.0, 1.0, 1.0, 0.16901408450704225, 0.31750741839762614, 0.7839672466095059, 158.0, 0.4, 0.8181818181818182, 0.2]"
Meditation,"[0.1, 1.0, 0.35, 1.4142857142857141, 3.384719564544786, 1.0, 0.2, 0.1625, 0.32275132275132273, 0.790900094954571, 14.142857142857142, 0.6, 0.9166666666666666, 0.2]"
Spring and All: XIX [This is the time of year],"[1.0, 1.0, 0.05, 10.5, 0.0, 1.0, 1.0, 0.1643835616438356, 0.3423913043478261, 0.7660189446528505, 105.0, 0.6, 0.42857142857142855, 0.2]"
On English Monsieur,"[0.3, 1.0, 0.1, 6.9, 9.4, 1.0, 0.5, 0.1326530612244898, 0.3395348837209302, 0.7813886066726555, 69.0, 0.4, 0.6666666666666666, 0.1]"
The Young Blake,"[0.3, 1.0, 0.4, 1.0125, 0.9350802104632521, 1.0, 0.125, 0.18055555555555555, 0.2331288343558282, 0.8136334308475441, 10.125, 0.4, 0.6666666666666666, 0.6]"
Occupation 1943,"[0.2, 1.0, 0.05, 17.3, 0.0, 0.0, 0.0, 0.16260162601626016, 0.2691131498470948, 0.8177115197100259, 173.0, 0.4, 0.75, 0.1]"
Coco(nut),"[0.1, 1.0, 0.4, 1.1625, 3.6399690932753814, 0.75, 0.375, 0.17647058823529413, 0.39644970414201186, 0.7424523452201695, 11.625, 0.6, 0.8125, 0.1]"
Counsel to Unreason,"[0.3, 1.0, 0.75, 0.8466666666666667, 0.6567258856546534, 0.6666666666666666, 0.13333333333333333, 0.2032520325203252, 0.3938053097345133, 0.7356451022221923, 8.466666666666667, 0.4, 0.9166666666666666, 0.4]"
Not Forgotten,"[0.2, 1.0, 0.25, 1.9600000000000002, 0.8818163074019442, 1.0, 0.2, 0.16883116883116883, 0.34146341463414637, 0.773892794595636, 19.6, 0.4, 0.5384615384615384, 0.1]"
Science Fiction,"[0.2, 1.0, 0.45, 1.7444444444444442, 2.336400101031235, 0.8888888888888888, 0.2222222222222222, 0.17346938775510204, 0.2807017543859649, 0.8138153718655534, 17.444444444444443, 0.4, 0.5, 0.2]"
To Be Walang Hiya,"[0.4, 1.0, 0.45, 0.8555555555555555, 0.47245092501042885, 1.0, 0.1111111111111111, 0.18032786885245902, 0.24528301886792453, 0.8093996431707532, 8.555555555555555, 0.6, 0.5, 0.5]"
Fire-Taking,"[0.1, 1.0, 0.55, 1.2636363636363637, 2.120502045653301, 0.9090909090909091, 0.18181818181818182, 0.19148936170212766, 0.324, 0.7863550521649447, 12.636363636363637, 0.4, 0.7333333333333333, 0.6]"
from Lyrics of the Street,"[0.5, 1.0, 0.05, 24.1, 0.0, 1.0, 1.0, 0.15736040609137056, 0.32054176072234764, 0.7784384899799576, 241.0, 0.6, 0.8461538461538461, 0.5]"
The Bride,"[0.2, 1.0, 0.4, 1.2875, 0.9243240773668076, 0.875, 0.25, 0.25, 0.37423312883435583, 0.7517300131897039, 12.875, 0.6, 0.8333333333333334, 0.5]"
Big City,"[0.2, 1.0, 0.25, 3.0, 3.242221460665511, 1.0, 0.2, 0.14285714285714285, 0.34275618374558303, 0.7757372488729755, 30.0, 0.6, 0.5555555555555556, 0.3]"
The Building of Light,"[0.4, 1.0, 0.35, 1.6714285714285715, 1.1842503872035832, 1.0, 0.14285714285714285, 0.21374045801526717, 0.30739299610894943, 0.7571407104884987, 16.714285714285715, 0.4, 0.8333333333333334, 0.6]"
American Dream,"[0.2, 1.0, 0.1, 1.0, 1.2, 1.0, 0.5, 0.058823529411764705, 0.34, 0.7877373580014352, 10.0, 0.6, 0.625, 0.5]"
Immigrant Picnic,"[0.2, 1.0, 0.95, 1.5421052631578946, 2.0358014477414144, 0.9473684210526315, 0.10526315789473684, 0.15025906735751296, 0.24403669724770644, 0.8267629029285105, 15.421052631578947, 0.4, 0.6875, 0.4]"
NoahÂs Wife,"[0.2, 1.0, 1.85, 0.772972972972973, 1.2543103186438904, 0.7837837837837838, 0.08108108108108109, 0.18090452261306533, 0.2919254658385093, 0.7967386969417739, 7.72972972972973, 0.4, 0.7142857142857143, 0.1]"
Soup and Jelly,"[0.3, 1.0, 0.8, 1.6375, 2.370522094391866, 0.9375, 0.125, 0.20408163265306123, 0.3078556263269639, 0.784297629838568, 16.375, 0.4, 0.8888888888888888, 0.2]"
Sonnet 12: When I do count the clock that tells the time,"[1.2, 0.9166666666666666, 0.15, 3.8, 8.204064033554753, 0.6666666666666666, 0.6666666666666666, 0.12658227848101267, 0.418848167539267, 0.7398699127428423, 38.0, 0.4, 0.6111111111111112, 0.1]"
Ah the Delight . . .,"[0.6, 0.6666666666666666, 0.3, 1.3333333333333335, 1.3498971154211057, 0.8, 0.4, 0.18, 0.2972972972972973, 0.7780879931484911, 13.333333333333334, 0.4, 0.6153846153846154, 0.5]"
After Noise,"[0.2, 1.0, 0.65, 0.6153846153846154, 0.44958889834469107, 0.9230769230769231, 0.15384615384615385, 0.17647058823529413, 0.2874251497005988, 0.78884235073451, 6.153846153846154, 0.6, 0.5, 0.4]"
Elizabethan,"[0.1, 1.0, 0.4, 2.55, 3.69729630946723, 1.0, 0.125, 0.1875, 0.3287037037037037, 0.7754465594913077, 25.5, 0.4, 0.7272727272727273, 0.2]"
Togetherness,"[0.1, 1.0, 0.15, 4.866666666666666, 4.561676105214934, 1.0, 0.3333333333333333, 0.21153846153846154, 0.2765151515151515, 0.8024656128387893, 48.666666666666664, 0.4, 0.6666666666666666, 0.6]"
By and By,"[0.3, 0.6666666666666666, 1.1, 2.309090909090909, 3.45827549820537, 0.8636363636363636, 0.13636363636363635, 0.1469387755102041, 0.3269230769230769, 0.7653007178850153, 23.09090909090909, 0.4, 0.875, 0.1]"
Rummage Sale,"[0.2, 1.0, 0.15, 4.033333333333333, 4.490978611493144, 1.0, 0.3333333333333333, 0.21649484536082475, 0.2952755905511811, 0.8094120958320247, 40.333333333333336, 0.4, 0.6153846153846154, 0.2]"
Crepuscule with Paula,"[0.3, 1.0, 0.1, 8.65, 13.7, 1.0, 0.5, 0.2037037037037037, 0.266304347826087, 0.7747342010511419, 86.5, 0.4, 0.8333333333333334, 0.5]"
DUSTING,"[0.1, 1.0, 0.45, 1.6, 2.1374959389175197, 0.7777777777777778, 0.2222222222222222, 0.2222222222222222, 0.3403361344537815, 0.7524775610930762, 16.0, 0.4, 1.0, 0.1]"
The Glens of Cithaeron,"[0.4, 1.0, 1.2, 2.1375, 3.5771555273242823, 0.8333333333333334, 0.08333333333333333, 0.13740458015267176, 0.34915924826904055, 0.7573240887926636, 21.375, 0.4, 0.6666666666666666, 0.5]"
Happy Trigger,"[0.2, 1.0, 0.15, 1.7, 1.1775681155103794, 1.0, 0.3333333333333333, 0.13513513513513514, 0.2818181818181818, 0.7939712933001432, 17.0, 0.6, 0.7368421052631579, 0.3]"
Nude,"[0.1, 1.0, 1.9, 0.631578947368421, 0.6458047010601249, 0.6052631578947368, 0.13157894736842105, 0.225, 0.2702078521939954, 0.8065688268729914, 6.315789473684211, 0.4, 0.7142857142857143, 0.6]"
Gift,"[0.1, 1.0, 0.35, 2.0571428571428574, 7.05315098204414, 1.0, 0.14285714285714285, 0.18584070796460178, 0.27241379310344827, 0.8113488202286026, 20.571428571428573, 0.4, 0.75, 0.5]"
Ondine,"[0.1, 1.0, 0.3, 4.733333333333333, 6.883474574822095, 1.0, 0.16666666666666666, 0.16990291262135923, 0.33264462809917356, 0.7636768800899807, 47.333333333333336, 0.4, 0.6363636363636364, 0.5]"
Tourist,"[0.1, 1.0, 0.3, 2.3833333333333333, 1.6509256662719722, 1.0, 0.16666666666666666, 0.22764227642276422, 0.31446540880503143, 0.795024320828626, 23.833333333333332, 0.4, 0.7272727272727273, 0.1]"
The Unnatural Apologie of Shadows,"[0.5, 1.0, 0.05, 7.2, 0.0, 1.0, 1.0, 0.25, 0.3049645390070922, 0.7846792118445163, 72.0, 0.4, 0.5714285714285714, 0.3]"
So Graven,"[0.2, 1.0, 0.05, 3.6, 0.0, 1.0, 1.0, 0.25, 0.3888888888888889, 0.7576780649310515, 36.0, 0.4, 0.7142857142857143, 0.5]"
For a Father,"[0.3, 1.0, 0.05, 10.3, 0.0, 1.0, 1.0, 0.17346938775510204, 0.29955947136563876, 0.8071631391552194, 103.0, 0.4, 0.7142857142857143, 0.1]"
For a War Memorial,"[0.4, 1.0, 0.05, 8.6, 0.0, 1.0, 1.0, 0.1951219512195122, 0.32926829268292684, 0.7716002716953443, 86.0, 0.6, 0.7857142857142857, 0.5]"
[By any measure],"[0.3, 1.0, 0.5, 1.2, 1.5697133496278868, 0.9, 0.2, 0.2535211267605634, 0.34854771784232363, 0.7717576491352336, 12.0, 0.4, 0.5555555555555556, 0.5]"
The End of Television,"[0.4, 1.0, 0.35, 1.7285714285714284, 3.2243967953522015, 1.0, 0.14285714285714285, 0.19318181818181818, 0.2908366533864542, 0.7915558595717781, 17.285714285714285, 0.4, 0.6923076923076923, 0.4]"
"from Inscriptions, 16: ""The lamps are burning in the synagogue""","[1.0, 1.0, 0.3, 3.65, 7.635661944673385, 0.8333333333333334, 0.3333333333333333, 0.1564625850340136, 0.32805429864253394, 0.7920731884570792, 36.5, 0.4, 0.8125, 0.1]"
Round,"[0.1, 1.0, 0.6, 0.9916666666666666, 0.5063485843654437, 0.9166666666666666, 0.16666666666666666, 0.1875, 0.2722772277227723, 0.7965902047788861, 9.916666666666666, 0.4, 0.8888888888888888, 0.3]"
Neighbors in October,"[0.3, 1.0, 0.35, 1.3714285714285714, 1.1043513194335823, 0.8571428571428571, 0.2857142857142857, 0.23076923076923078, 0.29605263157894735, 0.7215002620031322, 13.714285714285714, 0.4, 0.8, 0.1]"
The Calm,"[0.2, 1.0, 0.1, 6.0, 1.8, 0.5, 1.0, 0.17094017094017094, 0.34024896265560167, 0.7710007616349542, 60.0, 0.4, 0.8333333333333334, 0.5]"
The Flight,"[0.2, 1.0, 0.1, 6.55, 2.1, 1.0, 0.5, 0.18518518518518517, 0.30708661417322836, 0.7911097264410124, 65.5, 0.4, 0.65, 0.1]"
What We Know of Death by Drowning,"[0.7, 1.0, 1.65, 2.090909090909091, 2.972342668105264, 0.8484848484848485, 0.09090909090909091, 0.1414141414141414, 0.3095823095823096, 0.78230727427264, 20.90909090909091, 0.4, 0.8888888888888888, 0.1]"
Apostrophe to the Apostrophe,"[0.4, 0.75, 0.25, 2.1399999999999997, 1.6277591959500644, 0.8, 0.4, 0.19736842105263158, 0.2694300518134715, 0.8140291927730509, 21.4, 0.4, 0.8, 0.3]"
The Guardians,"[0.2, 1.0, 0.1, 5.5, 3.2, 1.0, 0.5, 0.23423423423423423, 0.4052044609665427, 0.7315843707204036, 55.0, 0.4, 0.75, 0.3]"
The bottoms of my shoes,"[0.5, 1.0, 0.1, 0.6, 0.2, 1.0, 0.5, 0.1111111111111111, 0.2777777777777778, 0.7237866955914866, 6.0, 0.4, 0.7272727272727273, 0.5]"
From the Artist's Sketchbook,"[0.4, 1.0, 0.2, 1.125, 2.0316249653910043, 1.0, 0.3333333333333333, 0.275, 0.32038834951456313, 0.8226740213246729, 11.25, 0.4, 0.6153846153846154, 0.5]"
Syringa,"[0.1, 1.0, 2.9, 1.2948275862068965, 1.5087891531556497, 0.6379310344827587, 0.08620689655172414, 0.1029126213592233, 0.2925018559762435, 0.7950345764270025, 12.948275862068966, 0.4, 0.9090909090909091, 0.3]"
The World Had Fled,"[0.4, 1.0, 0.35, 1.8714285714285714, 2.551670121344698, 1.0, 0.14285714285714285, 0.18478260869565216, 0.3021276595744681, 0.7875825770537571, 18.714285714285715, 0.4, 0.8, 0.6]"
The Preacher Addresses the Seminarians,"[0.5, 0.8, 0.45, 4.488888888888889, 10.133966841795827, 0.7777777777777778, 0.2222222222222222, 0.14965986394557823, 0.30538922155688625, 0.8026294940003487, 44.888888888888886, 0.4, 0.7142857142857143, 0.5]"
The Mower against Gardens,"[0.4, 1.0, 0.2, 3.125, 1.5190457530963313, 1.0, 0.25, 0.1724137931034483, 0.3427230046948357, 0.7448654938874834, 31.25, 0.4, 0.6923076923076923, 0.6]"
Northern Farmer: New Style,"[0.4, 1.0, 0.95, 3.4263157894736844, 4.017248131305366, 0.9473684210526315, 0.10526315789473684, 0.11, 0.24224224224224225, 0.8279548673150724, 34.26315789473684, 0.6, 0.631578947368421, 0.2]"
"January, 1795","[0.2, 1.0, 1.85, 0.5486486486486487, 0.4402004988432936, 0.32432432432432434, 0.3783783783783784, 0.1761904761904762, 0.29398148148148145, 0.7783817677273827, 5.486486486486487, 0.4, 0.75, 0.4]"
A Lizard in Spanish Valley,"[0.5, 1.0, 0.15, 1.8666666666666667, 3.767698973585278, 1.0, 0.3333333333333333, 0.2222222222222222, 0.3275862068965517, 0.7048698610676122, 18.666666666666668, 0.4, 0.8461538461538461, 0.5]"
A Dent in a Bucket,"[0.5, 0.8, 0.15, 0.4333333333333333, 0.4109609335312651, 1.0, 0.3333333333333333, 0.1111111111111111, 0.3181818181818182, 0.68477100319557, 4.333333333333333, 0.4, 0.8, 0.2]"
Everyone Sang,"[0.2, 1.0, 0.3, 1.1166666666666667, 1.7489679496459871, 1.0, 0.2, 0.26229508196721313, 0.30952380952380953, 0.805010574968338, 11.166666666666666, 0.4, 0.625, 0.1]"
"Blade, Unplugged","[0.2, 1.0, 0.35, 1.6857142857142857, 2.152549508781413, 0.8571428571428571, 0.2857142857142857, 0.18269230769230768, 0.32882882882882886, 0.7838460703549289, 16.857142857142858, 0.4, 0.7, 0.5]"
Ancestor,"[0.1, 1.0, 0.2, 10.7, 10.603772913449252, 0.75, 0.5, 0.13513513513513514, 0.3038961038961039, 0.7980502101878728, 107.0, 0.6, 0.7058823529411765, 0.1]"
Stand Whoso List,"[0.3, 1.0, 0.4, 1.025, 0.746659226153404, 0.875, 0.25, 0.10638297872340426, 0.2868217054263566, 0.8059085332994281, 10.25, 0.6, 0.7142857142857143, 0.6]"
Elegy for Peter,"[0.3, 1.0, 0.6, 0.8666666666666666, 1.3449494001221345, 0.9166666666666666, 0.16666666666666666, 0.1794871794871795, 0.29473684210526313, 0.8028178126267537, 8.666666666666666, 0.4, 0.9, 0.2]"
"February 12, 1963","[0.3, 1.0, 0.25, 2.2800000000000002, 2.271211130652542, 1.0, 0.2, 0.1981981981981982, 0.27906976744186046, 0.8016906623986628, 22.8, 0.4, 0.7647058823529411, 0.5]"
from Beachy Head,"[0.3, 1.0, 0.5, 2.63, 3.70626496624297, 0.9, 0.2, 0.1794871794871795, 0.3130630630630631, 0.7881703764802429, 26.3, 0.4, 0.7857142857142857, 0.6]"
Visions,"[0.1, 1.0, 1.35, 1.1666666666666665, 1.8036999011291577, 0.7037037037037037, 0.14814814814814814, 0.16753926701570682, 0.32765151515151514, 0.7734277881065362, 11.666666666666666, 0.6, 0.7647058823529411, 0.3]"
The Festubert Shrine,"[0.3, 1.0, 0.4, 1.6125, 0.7171994143890525, 0.875, 0.25, 0.22608695652173913, 0.32857142857142857, 0.7789347868119215, 16.125, 0.4, 0.5384615384615384, 0.2]"
Here Where Coltrane Is,"[0.4, 1.0, 0.5, 1.35, 2.1, 0.9, 0.2, 0.1919191919191919, 0.24125874125874125, 0.7933192170012079, 13.5, 0.6, 0.7333333333333333, 0.3]"
Proportion Surviving,"[0.2, 1.0, 6.15, 1.4178861788617887, 1.5310408851763015, 0.43089430894308944, 0.13008130081300814, 0.07135777998017839, 0.3298446995273464, 0.7861906406412179, 14.178861788617887, 0.4, 0.6666666666666666, 0.6]"
from A Ballad Upon A Wedding,"[0.6, 0.8333333333333334, 2.25, 1.7155555555555555, 0.4861742816097592, 0.6, 0.1111111111111111, 0.10077519379844961, 0.2980392156862745, 0.7993527498783187, 17.155555555555555, 0.6, 0.8, 0.5]"
Limitations,"[0.1, 1.0, 0.2, 2.15, 1.2041594578792296, 1.0, 0.25, 0.15294117647058825, 0.3128491620111732, 0.7978175360172769, 21.5, 0.6, 0.6, 0.5]"
Les Saltimbanques,"[0.2, 1.0, 0.95, 2.331578947368421, 2.6020660872540637, 0.8947368421052632, 0.10526315789473684, 0.15547703180212014, 0.31620553359683795, 0.7799043381985123, 23.31578947368421, 0.4, 0.6428571428571429, 0.5]"
Say This,"[0.2, 1.0, 0.15, 4.1, 3.1026870075253585, 0.6666666666666666, 0.6666666666666666, 0.18032786885245902, 0.28865979381443296, 0.7791262786263101, 41.0, 0.4, 0.75, 0.5]"
To the Choirmaster,"[0.3, 1.0, 0.15, 3.7, 8.769644614616187, 1.0, 0.3333333333333333, 0.15384615384615385, 0.3473684210526316, 0.7399547107537057, 37.0, 0.4, 0.9, 0.3]"
The Tale of Sunlight,"[0.4, 1.0, 0.05, 15.5, 0.0, 1.0, 1.0, 0.1945945945945946, 0.3255131964809384, 0.769247849138405, 155.0, 0.4, 0.875, 0.6]"
Amoretti LXX: Fresh spring the herald of loves mighty king,"[1.0, 1.0, 0.05, 10.1, 0.0, 1.0, 1.0, 0.16417910447761194, 0.3877551020408163, 0.7499453240572621, 101.0, 0.4, 0.6153846153846154, 0.4]"
Grief,"[0.1, 1.0, 0.3, 1.6166666666666667, 1.9745604292826517, 1.0, 0.16666666666666666, 0.21428571428571427, 0.3492063492063492, 0.7740837966667621, 16.166666666666668, 0.6, 0.5416666666666666, 0.1]"
"Revolutionaries, 1929","[0.2, 1.0, 0.1, 4.65, 5.3, 1.0, 0.5, 0.17, 0.3076923076923077, 0.8003503125358011, 46.5, 0.4, 0.9, 0.6]"
The New Year,"[0.3, 1.0, 0.4, 1.525, 1.3143439428094914, 0.875, 0.25, 0.18666666666666668, 0.31521739130434784, 0.7656788374312762, 15.25, 0.4, 0.8333333333333334, 0.6]"
Light Shining out of Darkness,"[0.5, 1.0, 0.65, 0.9153846153846154, 0.3494712828184784, 1.0, 0.07692307692307693, 0.21176470588235294, 0.32075471698113206, 0.7889947648434701, 9.153846153846153, 0.4, 0.7692307692307693, 0.1]"
Still Life #1,"[0.3, 1.0, 0.05, 0.8, 0.0, 1.0, 1.0, 0.0, 0.4444444444444444, 0.7233083335255651, 8.0, 0.4, 0.7, 0.5]"
Eremite,"[0.1, 1.0, 0.65, 0.9692307692307691, 0.7859716784273724, 0.8461538461538461, 0.15384615384615385, 0.1927710843373494, 0.38362068965517243, 0.737315841573099, 9.692307692307692, 0.4, 0.7272727272727273, 0.4]"
The House of Life: 41. Through Death to Love,"[0.9, 1.0, 0.4, 1.1125, 0.8150920193450553, 0.875, 0.25, 0.20652173913043478, 0.31958762886597936, 0.7497212861993496, 11.125, 0.6, 0.6, 0.1]"
Leviathan,"[0.1, 1.0, 0.3, 1.3333333333333335, 1.5260697523012796, 0.8333333333333334, 0.3333333333333333, 0.18032786885245902, 0.3026315789473684, 0.7895886696625521, 13.333333333333334, 0.4, 0.5454545454545454, 0.1]"
Dreamers,"[0.1, 1.0, 0.3, 1.65, 1.8064698539785637, 0.3333333333333333, 0.6666666666666666, 0.2073170731707317, 0.2849462365591398, 0.7837256486030246, 16.5, 0.4, 0.625, 0.2]"
The Miscarriage,"[0.2, 1.0, 0.05, 34.5, 0.0, 1.0, 1.0, 0.18614718614718614, 0.3052464228934817, 0.7875982713290735, 345.0, 0.4, 0.6666666666666666, 0.1]"
For My Wife,"[0.3, 1.0, 0.25, 3.5799999999999996, 4.808991578283331, 0.8, 0.4, 0.18181818181818182, 0.28104575163398693, 0.8018062076399229, 35.8, 0.4, 0.9166666666666666, 0.5]"
Oh! Susanna,"[0.2, 1.0, 0.05, 21.7, 0.0, 1.0, 1.0, 0.1650485436893204, 0.22900763358778625, 0.8315377805352916, 217.0, 0.6, 0.7333333333333333, 0.1]"
Southern Bred,"[0.2, 1.0, 0.05, 2.4, 0.0, 1.0, 1.0, 0.20833333333333334, 0.35555555555555557, 0.7708154924608775, 24.0, 0.4, 0.7692307692307693, 0.5]"
What Time It Gets To Be,"[0.6, 1.0, 0.15, 3.4, 1.2754084313139327, 1.0, 0.3333333333333333, 0.21052631578947367, 0.31382978723404253, 0.767566296028117, 34.0, 0.4, 0.9090909090909091, 0.6]"
blessing the boats,"[0.3, 1.0, 0.1, 2.4, 1.4, 1.0, 0.5, 0.14814814814814814, 0.22935779816513763, 0.84812094753236, 24.0, 0.4, 0.6428571428571429, 0.5]"
The White Room,"[0.3, 1.0, 0.75, 1.6066666666666667, 2.045439371436421, 0.8, 0.13333333333333333, 0.15591397849462366, 0.27790432801822323, 0.7865390554111021, 16.066666666666666, 0.4, 1.0, 0.5]"
From a Window,"[0.3, 1.0, 0.05, 11.5, 0.0, 1.0, 1.0, 0.20689655172413793, 0.34210526315789475, 0.7767414403222374, 115.0, 0.4, 0.7142857142857143, 0.6]"
For ÂFiddle-de-deÂ,"[0.2, 1.0, 1.2, 1.0791666666666666, 0.8465206567014312, 0.5652173913043478, 0.17391304347826086, 0.10309278350515463, 0.3228511530398323, 0.7923657428474392, 10.791666666666666, 0.4, 0.6923076923076923, 0.5]"
The Map,"[0.2, 1.0, 0.15, 3.8, 2.0396078054371136, 1.0, 0.3333333333333333, 0.2087912087912088, 0.2694063926940639, 0.822861411330269, 38.0, 0.4, 0.8, 0.1]"
Identity Politics,"[0.2, 1.0, 0.55, 2.1545454545454548, 2.82889459473116, 0.9090909090909091, 0.18181818181818182, 0.16097560975609757, 0.2773279352226721, 0.7815997343498143, 21.545454545454547, 0.4, 0.7, 0.5]"
The Crowds Cheered as Gloom Galloped Away,"[0.7, 1.0, 0.95, 1.5894736842105264, 1.2496647749942764, 0.7894736842105263, 0.21052631578947367, 0.1643835616438356, 0.333976833976834, 0.7912808891206299, 15.894736842105264, 0.4, 0.6153846153846154, 0.1]"
The Gulf of California,"[0.4, 1.0, 0.05, 13.0, 0.0, 1.0, 1.0, 0.19811320754716982, 0.3402061855670103, 0.7580927109365355, 130.0, 0.4, 0.6153846153846154, 0.5]"
Ardors,"[0.1, 1.0, 0.05, 1.9, 0.0, 1.0, 1.0, 0.1111111111111111, 0.29411764705882354, 0.7975302320356886, 19.0, 0.4, 0.8, 0.1]"
Ichabod,"[0.1, 1.0, 0.95, 0.8736842105263157, 0.35447280506279444, 0.631578947368421, 0.10526315789473684, 0.211864406779661, 0.33093525179856115, 0.746048668475952, 8.736842105263158, 0.6, 0.6190476190476191, 0.3]"
New YearÂs Day,"[0.3, 1.0, 0.85, 1.2058823529411764, 0.8358738667450171, 0.8235294117647058, 0.11764705882352941, 0.1527777777777778, 0.30563002680965146, 0.7758875630881059, 12.058823529411764, 0.4, 0.6666666666666666, 0.1]"
"from Upon Appleton House, to my Lord Fairfax","[0.8, 1.0, 1.45, 1.6275862068965516, 1.6272647257022637, 0.7586206896551724, 0.10344827586206896, 0.14655172413793102, 0.32926829268292684, 0.7796712544297734, 16.275862068965516, 0.4, 0.6923076923076923, 0.1]"
A Sequence of Sonnets on the Death of Robert Browning,"[1.0, 0.9, 2.5, 1.6940000000000002, 1.8279649887237994, 0.52, 0.1, 0.09666080843585237, 0.31245283018867925, 0.7718850803464744, 16.94, 0.6, 0.5833333333333334, 0.5]"
[in Just-],"[0.2, 1.0, 0.45, 0.6666666666666667, 1.487727573628093, 0.7777777777777778, 0.2222222222222222, 0.2459016393442623, 0.29357798165137616, 0.7593703542678357, 6.666666666666667, 0.6, 0.75, 0.6]"
We Wear the Mask,"[0.4, 1.0, 0.15, 2.8666666666666667, 3.6709066394496546, 1.0, 0.3333333333333333, 0.21666666666666667, 0.3717948717948718, 0.7801092619253396, 28.666666666666668, 0.6, 0.5555555555555556, 0.1]"
MiltonÂs God,"[0.2, 1.0, 0.05, 2.5, 0.0, 1.0, 1.0, 0.13333333333333333, 0.46153846153846156, 0.6507894964777007, 25.0, 0.4, 1.0, 0.1]"
Casa,"[0.1, 1.0, 1.0, 2.005, 3.3902654763307254, 0.95, 0.1, 0.17472118959107807, 0.29133858267716534, 0.7991269078438766, 20.05, 0.4, 0.6666666666666666, 0.3]"
"Live Long, Die Young","[0.4, 1.0, 0.25, 20.82, 43.865138777849545, 1.0, 0.2, 0.09049255441008018, 0.2808245818747569, 0.8060944659926349, 208.2, 0.4, 0.5714285714285714, 0.1]"
Medley of the Cut,"[0.4, 1.0, 0.6, 4.175, 7.220860982828387, 0.75, 0.25, 0.13802083333333334, 0.3559322033898305, 0.7639062139299787, 41.75, 0.4, 1.0, 0.1]"
